Date,Height_m
2020-03-01 03:13:00,3.2
2020-03-01 08:58:00,4.4
2020-03-01 16:20:00,1.9
2020-03-01 23:32:00,4.0
2020-03-02 04:08:00,3.5
2020-03-02 09:27:00,4.3
2020-03-02 17:13:00,1.8
2020-03-03 01:08:00,4.1
2020-03-03 05:31:00,3.8
2020-03-03 10:07:00,4.2
2020-03-03 18:16:00,1.7
2020-03-04 02:26:00,4.3
2020-03-04 07:15:00,3.8
2020-03-04 11:09:00,4.1
2020-03-04 19:23:00,1.5
2020-03-05 03:21:00,4.5
2020-03-05 08:35:00,3.8
2020-03-05 12:28:00,4.1
2020-03-05 20:25:00,1.2
2020-03-06 04:04:00,4.7
2020-03-06 09:28:00,3.6
2020-03-06 13:47:00,4.2
2020-03-06 21:19:00,1.0
2020-03-07 04:40:00,4.8
2020-03-07 10:13:00,3.4
2020-03-07 14:55:00,4.4
2020-03-07 22:09:00,0.9
2020-03-08 05:13:00,4.9
2020-03-08 10:55:00,3.1
2020-03-08 15:56:00,4.5
2020-03-08 22:55:00,0.9
2020-03-09 05:45:00,5.0
2020-03-09 11:39:00,2.7
2020-03-09 16:55:00,4.6
2020-03-09 23:39:00,1.0
2020-03-10 06:16:00,5.1
2020-03-10 12:23:00,2.3
2020-03-10 17:53:00,4.6
2020-03-11 00:22:00,1.3
2020-03-11 06:47:00,5.1
2020-03-11 13:09:00,2.0
2020-03-11 18:55:00,4.6
2020-03-12 01:07:00,1.7
2020-03-12 07:20:00,5.1
2020-03-12 13:56:00,1.6
2020-03-12 20:01:00,4.5
2020-03-13 01:53:00,2.2
2020-03-13 07:54:00,5.0
2020-03-13 14:45:00,1.4
2020-03-13 21:12:00,4.5
2020-03-14 02:45:00,2.8
2020-03-14 08:30:00,4.8
2020-03-14 15:36:00,1.3
2020-03-14 22:30:00,4.5
2020-03-15 03:47:00,3.2
2020-03-15 09:09:00,4.6
2020-03-15 16:31:00,1.3
2020-03-15 23:54:00,4.5
2020-03-16 05:06:00,3.5
2020-03-16 09:54:00,4.3
2020-03-16 17:31:00,1.4
2020-03-17 01:17:00,4.6
2020-03-17 06:48:00,3.6
2020-03-17 10:53:00,4.0
2020-03-17 18:37:00,1.5
2020-03-18 02:28:00,4.6
2020-03-18 08:27:00,3.5
2020-03-18 12:15:00,3.8
2020-03-18 19:44:00,1.5
2020-03-19 03:23:00,4.7
2020-03-19 09:31:00,3.3
2020-03-19 13:43:00,3.8
2020-03-19 20:46:00,1.6
2020-03-20 04:06:00,4.7
2020-03-20 10:13:00,3.1
2020-03-20 14:52:00,3.9
2020-03-20 21:38:00,1.6
2020-03-21 04:40:00,4.7
2020-03-21 10:45:00,3.0
2020-03-21 15:46:00,4.0
2020-03-21 22:22:00,1.6
2020-03-22 05:09:00,4.6
2020-03-22 11:13:00,2.8
2020-03-22 16:32:00,4.1
2020-03-22 23:00:00,1.7
2020-03-23 05:33:00,4.6
2020-03-23 11:41:00,2.5
2020-03-23 17:15:00,4.2
2020-03-23 23:34:00,1.9
2020-03-24 05:55:00,4.6
2020-03-24 12:08:00,2.3
2020-03-24 17:56:00,4.3
2020-03-25 00:06:00,2.1
2020-03-25 06:14:00,4.5
2020-03-25 12:36:00,2.1
2020-03-25 18:38:00,4.3
2020-03-26 00:36:00,2.4
2020-03-26 06:32:00,4.5
2020-03-26 13:05:00,1.9
2020-03-26 19:21:00,4.3
2020-03-27 01:07:00,2.6
2020-03-27 06:50:00,4.5
2020-03-27 13:35:00,1.7
2020-03-27 20:07:00,4.3
2020-03-28 01:41:00,2.9
2020-03-28 07:10:00,4.4
2020-03-28 14:07:00,1.6
2020-03-28 20:57:00,4.3
2020-03-29 02:20:00,3.2
2020-03-29 07:31:00,4.3
2020-03-29 14:43:00,1.5
2020-03-29 21:56:00,4.3
2020-03-30 03:09:00,3.5
2020-03-30 07:56:00,4.2
2020-03-30 15:27:00,1.5
2020-03-30 23:06:00,4.3
2020-03-31 04:16:00,3.6
2020-03-31 08:29:00,4.1
2020-03-31 16:20:00,1.5
2020-04-01 00:24:00,4.4
2020-04-01 05:47:00,3.7
2020-04-01 09:20:00,3.9
2020-04-01 17:25:00,1.5
2020-04-02 01:34:00,4.5
2020-04-02 07:21:00,3.6
2020-04-02 10:44:00,3.8
2020-04-02 18:37:00,1.5
2020-04-03 02:28:00,4.6
2020-04-03 08:24:00,3.4
2020-04-03 12:23:00,3.8
2020-04-03 19:46:00,1.4
2020-04-04 03:11:00,4.7
2020-04-04 09:10:00,3.1
2020-04-04 13:49:00,4.0
2020-04-04 20:46:00,1.4
2020-04-05 03:46:00,4.8
2020-04-05 09:52:00,2.8
2020-04-05 15:00:00,4.2
2020-04-05 21:40:00,1.4
2020-04-06 04:19:00,4.9
2020-04-06 10:33:00,2.4
2020-04-06 16:03:00,4.4
2020-04-06 22:29:00,1.5
2020-04-07 04:50:00,4.9
2020-04-07 11:15:00,1.9
2020-04-07 17:04:00,4.5
2020-04-07 23:16:00,1.8
2020-04-08 05:22:00,5.0
2020-04-08 11:58:00,1.5
2020-04-08 18:04:00,4.7
2020-04-09 00:03:00,2.1
2020-04-09 05:55:00,5.0
2020-04-09 12:42:00,1.1
2020-04-09 19:06:00,4.7
2020-04-10 00:51:00,2.5
2020-04-10 06:29:00,4.9
2020-04-10 13:27:00,0.9
2020-04-10 20:10:00,4.8
2020-04-11 01:44:00,2.9
2020-04-11 07:05:00,4.7
2020-04-11 14:12:00,0.8
2020-04-11 21:15:00,4.8
2020-04-12 02:43:00,3.2
2020-04-12 07:43:00,4.5
2020-04-12 14:59:00,0.9
2020-04-12 22:21:00,4.8
2020-04-13 03:53:00,3.4
2020-04-13 08:24:00,4.2
2020-04-13 15:51:00,1.1
2020-04-13 23:30:00,4.7
2020-04-14 05:20:00,3.5
2020-04-14 09:14:00,3.9
2020-04-14 16:47:00,1.4
2020-04-15 00:38:00,4.7
2020-04-15 07:03:00,3.4
2020-04-15 10:26:00,3.6
2020-04-15 17:51:00,1.6
2020-04-16 01:40:00,4.7
2020-04-16 08:22:00,3.2
2020-04-16 12:09:00,3.5
2020-04-16 18:59:00,1.8
2020-04-17 02:29:00,4.6
2020-04-17 09:10:00,2.9
2020-04-17 13:43:00,3.5
2020-04-17 20:05:00,2.0
2020-04-18 03:09:00,4.6
2020-04-18 09:44:00,2.7
2020-04-18 14:53:00,3.7
2020-04-18 20:59:00,2.1
2020-04-19 03:40:00,4.6
2020-04-19 10:12:00,2.4
2020-04-19 15:48:00,3.8
2020-04-19 21:46:00,2.2
2020-04-20 04:07:00,4.5
2020-04-20 10:39:00,2.2
2020-04-20 16:34:00,4.0
2020-04-20 22:26:00,2.3
2020-04-21 04:30:00,4.5
2020-04-21 11:05:00,1.9
2020-04-21 17:17:00,4.2
2020-04-21 23:02:00,2.5
2020-04-22 04:51:00,4.5
2020-04-22 11:32:00,1.7
2020-04-22 17:59:00,4.3
2020-04-22 23:37:00,2.7
2020-04-23 05:10:00,4.4
2020-04-23 11:59:00,1.5
2020-04-23 18:40:00,4.4
2020-04-24 00:12:00,2.9
2020-04-24 05:29:00,4.4
2020-04-24 12:28:00,1.3
2020-04-24 19:22:00,4.5
2020-04-25 00:49:00,3.1
2020-04-25 05:50:00,4.3
2020-04-25 12:59:00,1.2
2020-04-25 20:07:00,4.6
2020-04-26 01:29:00,3.3
2020-04-26 06:13:00,4.2
2020-04-26 13:33:00,1.1
2020-04-26 20:54:00,4.6
2020-04-27 02:16:00,3.5
2020-04-27 06:40:00,4.2
2020-04-27 14:12:00,1.1
2020-04-27 21:47:00,4.6
2020-04-28 03:14:00,3.6
2020-04-28 07:13:00,4.0
2020-04-28 14:57:00,1.2
2020-04-28 22:46:00,4.6
2020-04-29 04:27:00,3.6
2020-04-29 07:58:00,3.9
2020-04-29 15:50:00,1.3
2020-04-29 23:48:00,4.6
2020-04-30 05:51:00,3.5
2020-04-30 09:08:00,3.7
2020-04-30 16:51:00,1.4
